09-23-2017 13:28:36.656,-,AT,"ERROR,0000EEB0000026D1,XBEE-PRO XSC (S3B) 19200,3111,COM5 - 9600/8/N/1/N,10"
09-23-2017 13:28:40.234,4942,RECV,4F54544F4D2052494748540A0A0D0A496E74656E64656420616E676C653A203339302E30300D0A4F66667365742066726F6D20696E74656E6465642061
09-23-2017 13:28:40.297,4943,RECV,6E676C653A202D3336332E30300D0A5361696C20616E676C653A203235342E30300D0A5461696C20616E676C653A202D3132312E30300D0A2D2D2D2D2D2D
09-23-2017 13:28:40.359,4944,RECV,2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A43757272656E742077696E64207265616469
09-23-2017 13:28:40.359,4945,RECV,6E6720772E722E7420426F61743A2033
09-23-2017 13:28:40.422,4946,RECV,33340D0A494D5520537475636B210D0A4C617469747564653A2034322E343434363133383333300D0A4C6F6E6769
09-23-2017 13:28:40.484,4947,RECV,747564653A202D37362E343833353030353030300D0A57696E6420772E722E74204E6F7274683A203237302E30300D0A426F617420646972656374696F
09-23-2017 13:28:40.547,4948,RECV,6E3A2032372E32390D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F696E742023303A203432
09-23-2017 13:28:40.609,4949,RECV,2E343434363132303030302C202D37362E343833343932303030300D0A464143494E4720524947485420424F54544F4D204C4546540D0A0A0A496E74656E
09-23-2017 13:28:40.672,4950,RECV,64656420536563746F723A20424F54544F4D2052494748540A0A0D0A496E74656E64656420616E676C653A203339302E30300D0A4F6666736574206672
09-23-2017 13:28:40.734,4951,RECV,6F6D20696E74656E64656420616E676C653A202D3336332E30300D0A5361696C20616E676C653A203235342E30300D0A5461696C20616E676C653A202D31
09-23-2017 13:28:40.797,4952,RECV,32312E30300D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A43757272656E742077696E642072656164696E67
09-23-2017 13:28:40.859,4953,RECV,20772E722E7420426F61743A203333340D0A494D5520537475636B210D0A4C617469747564653A2034322E343434363133383333300D0A4C6F6E67697475
09-23-2017 13:28:40.922,4954,RECV,64653A202D37362E343833353030353030300D0A57696E6420772E722E74204E6F7274683A203237302E30300D0A426F617420646972656374696F6E3A20
09-23-2017 13:28:41.000,4955,RECV,32372E32370D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F696E742023303A2034322E34
09-23-2017 13:28:41.047,4956,RECV,3434363132303030302C202D37362E343833343932303030300D0A464143494E4720524947485420424F54544F4D20
09-23-2017 13:28:41.109,4957,RECV,4C4546540D0A0A0A496E74656E64656420536563746F723A20424F54544F4D2052494748540A0A0D0A496E74656E64656420616E676C653A203339302E
09-23-2017 13:28:41.172,4958,RECV,30300D0A4F66667365742066726F6D20696E74656E64656420616E676C653A202D3336332E30300D0A5361696C20616E676C653A203235342E30300D0A54
09-23-2017 13:28:41.234,4959,RECV,61696C20616E676C653A202D3132312E30300D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A43757272656E74
09-23-2017 13:28:41.312,4960,RECV,2077696E642072656164696E6720772E722E7420426F61743A203333340D0A494D5520537475636B210D0A4C617469747564653A2034322E343434363034
09-23-2017 13:28:41.359,4961,RECV,383333300D0A4C6F6E6769747564653A202D37362E343833343831383333300D0A57696E6420772E722E74204E6F7274683A203237302E30300D0A426F61
09-23-2017 13:28:41.422,4962,RECV,7420646972656374696F6E3A2032372E32360D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E6578742057617970
09-23-2017 13:28:41.485,4963,RECV,6F696E742023303A2034322E343434363132303030302C202D37362E343833343932303030300D0A464143494E472052494748542055502052494748540D
09-23-2017 13:28:41.547,4964,RECV,0A0A0A496E74656E64656420536563746F723A2055502052494748540A0A0D0A496E74656E64656420616E676C653A203333302E30300D0A4F66667365
09-23-2017 13:28:41.610,4965,RECV,742066726F6D20696E74656E64656420616E676C653A202D3330332E30300D0A5361696C20616E676C653A203331342E30300D0A5461696C20616E676C65
09-23-2017 13:28:41.672,4966,RECV,3A202D36312E30300D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A4375
09-23-2017 13:28:41.735,4967,RECV,7272656E742077696E642072656164696E6720772E722E7420426F61743A203333340D0A494D5520537475636B210D0A4C617469747564653A2034322E34
09-23-2017 13:28:41.797,4968,RECV,3434363034383333300D0A4C6F6E6769747564653A202D37362E343833343831383333300D0A57696E6420772E722E74204E6F7274683A203237302E30
09-23-2017 13:28:41.860,4969,RECV,300D0A426F617420646972656374696F6E3A2032372E33300D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E657874
09-23-2017 13:28:41.922,4970,RECV,20576179706F696E742023303A2034322E343434363132303030302C202D37362E343833343932303030300D0A464143494E472052494748542055502052
09-23-2017 13:28:41.984,4971,RECV,494748540D0A0A0A496E74656E64656420536563746F723A2055502052494748540A0A0D0A496E74656E64656420616E676C653A203333302E30300D0A
09-23-2017 13:28:42.047,4972,RECV,4F66667365742066726F6D20696E74656E64656420616E676C653A202D3330332E30300D0A5361696C20616E676C653A203331342E30300D0A5461696C20
09-23-2017 13:28:42.110,4973,RECV,616E676C653A202D36312E30300D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A43757272656E742077696E64
09-23-2017 13:28:42.172,4974,RECV,2072656164696E6720772E722E7420426F61743A203333340D0A494D5520537475636B210D0A4C617469747564653A2034322E343434363031383333300D
09-23-2017 13:28:42.235,4975,RECV,0A4C6F6E6769747564653A202D37362E343833343833363637300D0A57696E6420772E722E74204E6F7274683A203237302E30300D0A426F617420646972
09-23-2017 13:28:42.297,4976,RECV,656374696F6E3A2032372E32330D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F696E7420
09-23-2017 13:28:42.359,4977,RECV,23303A2034322E343434363132303030302C202D37362E343833343932303030300D0A464143494E472052494748
09-23-2017 13:28:42.422,4978,RECV,542055502052494748540D0A0A0A496E74656E64656420536563746F723A2055502052494748540A0A0D0A496E74656E64656420616E676C653A20333330
09-23-2017 13:28:42.485,4979,RECV,2E30300D0A4F66667365742066726F6D20696E74656E64656420616E676C653A202D3330332E30300D0A5361696C20616E676C653A203331342E30300D0A
09-23-2017 13:28:42.547,4980,RECV,5461696C20616E676C653A202D36312E30300D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A43757272656E74
09-23-2017 13:28:42.610,4981,RECV,2077696E642072656164696E6720772E722E7420426F61743A203333340D0A494D5520537475636B210D0A4C617469747564653A2034322E343434363031
09-23-2017 13:28:42.672,4982,RECV,383333300D0A4C6F6E6769747564653A202D37362E343833343833363637300D0A57696E6420772E722E74204E6F7274683A203237302E30300D0A426F
09-23-2017 13:28:42.735,4983,RECV,617420646972656374696F6E3A2032372E31380D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E6578742057617970
09-23-2017 13:28:42.797,4984,RECV,6F696E742023303A2034322E343434363132303030302C202D37362E343833343932303030300D0A464143494E472052494748542055502052494748540D
09-23-2017 13:28:42.860,4985,RECV,0A0A0A496E74656E64656420536563746F723A2055502052494748540A0A0D0A496E74656E64656420616E676C653A203333302E30300D0A4F66667365
09-23-2017 13:28:42.922,4986,RECV,742066726F6D20696E74656E64656420616E676C653A202D3330332E30300D0A5361696C20616E676C653A203331342E30300D0A5461696C20616E676C65
09-23-2017 13:28:42.985,4987,RECV,3A202D36312E30300D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A4375
09-23-2017 13:28:43.047,4988,RECV,7272656E742077696E642072656164
09-23-2017 13:28:43.047,4989,RECV,696E6720772E722E7420426F61743A203333340D0A494D5520537475636B210D0A4C617469747564653A2034322E34
09-23-2017 13:28:43.110,4990,RECV,3434363031383333300D0A4C6F6E6769747564653A202D37362E343833343833363637300D0A57696E6420772E722E74204E6F7274683A203237302E30
09-23-2017 13:28:43.172,4991,RECV,300D0A426F617420646972656374696F6E3A2032372E31380D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E657874
09-23-2017 13:28:43.235,4992,RECV,20576179706F696E742023303A2034322E343434363132303030302C202D37362E343833343932303030300D0A464143494E4720524947485420555020
09-23-2017 13:28:43.297,4993,RECV,52494748540D0A0A0A496E74656E64656420536563746F723A2055502052494748540A0A0D0A496E74656E64656420616E676C653A203333302E30300D0A
09-23-2017 13:28:43.360,4994,RECV,4F66667365742066726F6D20696E74656E64656420616E676C653A202D3330332E30300D0A5361696C20616E676C653A203331342E30300D0A5461696C20
09-23-2017 13:28:43.422,4995,RECV,616E676C653A202D36312E30300D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A43757272656E742077696E64
09-23-2017 13:28:43.485,4996,RECV,2072656164696E6720772E722E7420426F61743A203333340D0A494D5520537475636B210D0A4C617469747564653A2034322E343434353938363637300D
09-23-2017 13:28:43.563,4997,RECV,0A4C6F6E6769747564653A202D37362E343833343832313637300D0A57696E6420772E722E74204E6F7274683A203237302E30300D0A426F617420646972
09-23-2017 13:28:43.610,4998,RECV,656374696F6E3A2032372E31370D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F696E7420
09-23-2017 13:28:43.672,4999,RECV,23303A2034322E343434363132303030302C202D37362E343833343932303030300D0A464143494E472052494748
09-23-2017 13:28:43.735,5000,RECV,54204449524543542052494748540D0A0A0A496E74656E64656420536563746F723A204449524543542052494748540A0A0D0A496E74656E64656420616E
09-23-2017 13:28:43.797,5001,RECV,676C653A203333312E30300D0A4F66667365742066726F6D20696E74656E64656420616E676C653A202D3330342E30300D0A5361696C20616E676C653A20
09-23-2017 13:28:43.860,5002,RECV,3331332E30300D0A5461696C20616E676C653A202D36322E30300D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D
09-23-2017 13:28:43.922,5003,RECV,0A43757272656E742077696E642072656164696E6720772E722E7420426F61743A203333340D0A494D5520537475636B210D0A4C617469747564653A2034
09-23-2017 13:28:43.985,5004,RECV,322E343434353938363637300D0A4C6F6E6769747564653A202D37362E343833343832313637300D0A57696E6420772E722E74204E6F7274683A203237
09-23-2017 13:28:44.047,5005,RECV,302E30300D0A426F617420646972656374696F6E3A2032372E31360D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E
09-23-2017 13:28:44.110,5006,RECV,65787420576179706F696E742023303A2034322E343434363132303030302C202D37362E343833343932303030300D0A464143494E472052494748542044
09-23-2017 13:28:44.172,5007,RECV,49524543542052494748540D0A0A0A496E74656E64656420536563746F723A204449524543542052494748540A0A0D0A496E74656E64656420616E676C
09-23-2017 13:28:44.250,5008,RECV,653A203333312E30300D0A4F66667365742066726F6D20696E74656E64656420616E676C653A202D3330342E30300D0A5361696C20616E676C653A203331
09-23-2017 13:28:44.297,5009,RECV,332E30300D0A5461696C20616E676C653A202D36322E30300D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E
09-23-2017 13:28:44.360,5010,RECV,736F722D2D2D2D2D2D2D2D2D2D0A43757272656E742077696E642072656164696E6720772E722E7420426F61743A203333340D0A494D5520537475636B21
09-23-2017 13:28:44.422,5011,RECV,0D0A4C617469747564653A2034322E343434363038383333300D0A4C6F6E6769747564653A202D37362E343833343936353030300D0A57696E6420772E
09-23-2017 13:28:44.485,5012,RECV,722E74204E6F7274683A203237302E30300D0A426F617420646972656374696F6E3A2032372E31330D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E
09-23-2017 13:28:44.547,5013,RECV,2D2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F696E742023303A2034322E343434363132303030302C202D37362E343833343932303030300D0A
09-23-2017 13:28:44.610,5014,RECV,464143494E4720524947485420424F54544F4D2052494748540D0A0A0A496E74656E64656420536563746F723A20424F54544F4D2052494748540A0A0D0A
09-23-2017 13:28:44.672,5015,RECV,496E74656E64656420616E676C653A203339302E30300D0A4F66667365742066726F6D20696E74656E64656420616E676C653A202D3336332E30300D0A53
09-23-2017 13:28:44.735,5016,RECV,61696C20616E676C653A203235342E30300D0A5461696C20616E676C653A202D3132312E30300D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E73
09-23-2017 13:28:44.797,5017,RECV,6F722D2D2D2D2D2D2D2D2D2D0A43757272656E742077696E642072656164696E6720772E722E7420426F61743A203333340D0A494D5520537475636B210D
09-23-2017 13:28:44.860,5018,RECV,0A4C617469747564653A2034322E343434363038383333300D0A4C6F6E6769747564653A202D37362E343833343936353030300D0A57696E6420772E72
09-23-2017 13:28:44.923,5019,RECV,2E74204E6F7274683A203237302E30300D0A426F617420646972656374696F6E3A2032372E30380D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D
09-23-2017 13:28:44.985,5020,RECV,2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F696E742023303A2034322E343434363132303030302C202D37
09-23-2017 13:28:45.047,5021,RECV,362E343833343932303030300D0A464143494E4720524947485420424F54544F4D2052494748540D0A0A0A496E74656E64656420536563746F723A20424F
09-23-2017 13:28:45.110,5022,RECV,54544F4D2052494748540A0A0D0A496E74656E64656420616E676C653A203339302E30300D0A4F66667365742066726F6D20696E74656E64656420616E
09-23-2017 13:28:45.173,5023,RECV,676C653A202D3336332E30300D0A5361696C20616E676C653A203235342E30300D0A5461696C20616E676C653A202D3132312E30300D0A2D2D2D2D2D2D2D
09-23-2017 13:28:45.235,5024,RECV,2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A43757272656E742077696E642072656164696E6720772E722E7420426F61743A203333
09-23-2017 13:28:45.298,5025,RECV,340D0A494D5520537475636B210D0A4C617469747564653A2034322E343434353934363637300D0A4C6F6E6769747564653A202D37362E343833343839
09-23-2017 13:28:45.360,5026,RECV,353030300D0A57696E6420772E722E74204E6F7274683A203237302E30300D0A426F617420646972656374696F6E3A2032372E30350D0A2D2D2D2D2D2D2D
09-23-2017 13:28:45.423,5027,RECV,2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F696E742023303A2034322E343434363132303030302C202D3736
09-23-2017 13:28:45.485,5028,RECV,2E343833343932303030300D0A464143494E47205249474854204449524543542052494748540D0A0A0A496E74656E64656420536563746F723A20444952
09-23-2017 13:28:45.547,5029,RECV,4543542052494748540A0A0D0A496E74656E64656420616E676C653A20302E30300D0A4F66667365742066726F6D20696E74656E64656420616E676C65
09-23-2017 13:28:45.610,5030,RECV,3A2032372E30300D0A5361696C20616E676C653A203238342E30300D0A5461696C20616E676C653A202D39312E3030
09-23-2017 13:28:45.672,5031,RECV,0D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A43757272656E742077696E642072656164696E6720772E722E
09-23-2017 13:28:45.735,5032,RECV,7420426F61743A203333340D0A494D5520537475636B210D0A4C617469747564653A2034322E343434353934363637300D0A4C6F6E6769747564653A202D
09-23-2017 13:28:45.798,5033,RECV,37362E343833343839353030300D0A57696E6420772E722E74204E6F7274683A203237302E30300D0A426F617420646972656374696F6E3A2032372E31
09-23-2017 13:28:45.860,5034,RECV,360D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F696E742023303A2034322E343434363132
09-23-2017 13:28:45.922,5035,RECV,303030302C202D37362E343833343932303030300D0A464143494E47205249474854204449524543542052494748540D0A0A0A496E74656E646564205365
09-23-2017 13:28:45.985,5036,RECV,63746F723A204449524543542052494748540A0A0D0A496E74656E64656420616E676C653A20302E30300D0A4F66667365742066726F6D20696E74656E
09-23-2017 13:28:46.047,5037,RECV,64656420616E676C653A2032372E30300D0A5361696C20616E676C653A203238342E30300D0A5461696C20616E676C653A202D39312E30300D0A2D2D2D2D
09-23-2017 13:28:46.110,5038,RECV,2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A43757272656E742077696E642072656164696E6720772E722E7420426F61743A
09-23-2017 13:28:46.173,5039,RECV,203333340D0A494D5520537475636B210D0A4C617469747564653A2034322E343434353836333333300D0A4C6F6E6769747564653A202D37362E343833
09-23-2017 13:28:46.250,5040,RECV,343832313637300D0A57696E6420772E722E74204E6F7274683A203237302E30300D0A426F617420646972656374
09-23-2017 13:28:46.298,5041,RECV,696F6E3A2032372E31370D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F696E742023303A20
09-23-2017 13:28:46.360,5042,RECV,34322E343434363132303030302C202D37362E343833343932303030300D0A464143494E47205249474854204449524543542052494748540D0A0A0A496E
09-23-2017 13:28:46.423,5043,RECV,74656E64656420536563746F723A204449524543542052494748540A0A0D0A496E74656E64656420616E676C653A203334342E30300D0A4F6666736574
09-23-2017 13:28:46.485,5044,RECV,2066726F6D20696E74656E64656420616E676C653A202D3331372E30300D0A5361696C20616E676C653A203330302E30300D0A5461696C20616E676C653A
